name,description,contact_information,x_opencti_aliases,x_opencti_organization_type,x_opencti_reliability,sectors,other_stix_ids,createdBy,objectMarking,objectLabel,external_references
Fireeye,,fireeye.com,,,,Technologies,,Filigran,TLP:WHITE,,
Mandiant,,mandiant.com,,,,Technologies,,Filigran,TLP:WHITE,,
Crowdstrike,,crowdstrike.com,,,,Technologies,,Filigran,TLP:WHITE,,
BAE Systems,,baesystems.com,,,,Technologies,,Filigran,TLP:WHITE,,
ESET,,eset.com,,,,Technologies,,Filigran,TLP:WHITE,,
McAfee,,mcafee.com,,,,Technologies,,Filigran,TLP:WHITE,,
Symantec,,symantec.com,,,,Technologies,,Filigran,TLP:WHITE,,
Checkpoint,,checkpoint.com,,,,Technologies,,Filigran,TLP:WHITE,,
Kaspersky,,kaspersky.com,,,,Technologies,,Filigran,TLP:WHITE,,
Trendmicro,,trendmicro.com,,,,Technologies,,Filigran,TLP:WHITE,,
Proofpoint,,proofpoint.com,,,,Technologies,,Filigran,TLP:WHITE,,
Cylance,,cylance.com,,,,Technologies,,Filigran,TLP:WHITE,,
Telsy,,telsy.com,,,,Technologies,,Filigran,TLP:WHITE,,
Recorded Future,,recordedfuture.com,,,,Technologies,,Filigran,TLP:WHITE,,
RiskIQ,,riskiq.com,,,,Technologies,,Filigran,TLP:WHITE,,
Gatewatcher ,,gatewatcher.com,,,,Technologies,,Filigran,TLP:WHITE,,
Group-IB,,Group-ib.com,,,,Technologies,,Filigran,TLP:WHITE,,
Nextron Systems,,Nextron-systems.com,,,,Technologies,,Filigran,TLP:WHITE,,
GreyNoise,,greynoise.io,,,,Technologies,,Filigran,TLP:WHITE,,
Tenzir,,tenzir.com,,,,Technologies,,Filigran,TLP:WHITE,,
BSI,,bsi.bund.de,,csirt,,Central administration and government,,Filigran,TLP:WHITE,,
CERT-EU,,cert.europa.eu,,csirt,,Central administration and government,,Filigran,TLP:WHITE,,
NCSC-UK,,ncsc.gov.uk,,csirt,,Central administration and government,,Filigran,TLP:WHITE,,
CERT-Bund,,cert-bund.de,,csirt,,Central administration and government,,Filigran,TLP:WHITE,,
CISA,,cisa.gov,,csirt,,Central administration and government,,Filigran,TLP:WHITE,,
FBI,,fbi.gov,,,,Central administration and government,,Filigran,TLP:WHITE,,
Europol,,europol.europa.eu,,,,Central administration and government,,Filigran,TLP:WHITE,,
New York Times,,newyorktimes.com,,,,Medias and audiovisual,,Filigran,TLP:WHITE,,
Washington Post,,washingtonpost.com,,,,Medias and audiovisual,,Filigran,TLP:WHITE,,
Malpedia,,malpedia.caad.fkie.fraunhofer.de,,,,Technologies,,Filigran,TLP:WHITE,,
The Record,,therecord.media,,,,Medias and audiovisual,,Filigran,TLP:WHITE,,
